 pedido;fecha_pedido;fecha;financial_status;total;subtotal;shipping;taxes;discount_code;discount_amount;sku;producto;cantidad;precio_unitario;ImportadoIA;descuento_item;categoria_producto;canal;ciudad;departamento;payment_method;risk_level
1001;2023-10-10 04:29:43-05:00;2023-10-10;paid;315.000,00;315.000,00;0,00;0,00;ELEVENPRO10;35.000,00;99999;ENTERIZO HILL - S / Black / M;1;350.000,00;NO;0.0;Enterizo;web;Cajicá;Cundinamarca;ePayco;Low
1002;2023-10-10 09:58:31-05:00;2023-10-10;paid;863.640,00;863.640,00;0,00;0,00;ELEVENPRO10;95.960,00;90275;CAMISETA HILL SKY BASICA - S / S;1;209.900,00;NO;0.0;Camisetas;web;Sin información;Sin información;ePayco;Low
1002;2023-10-10 09:58:31-05:00;2023-10-10;paid;863.640,00;863.640,00;0,00;0,00;ELEVENPRO10;95.960,00;14302;CAMISETA HILL TERMICA REFLECTIVA - S / Black;1;239.900,00;NO;0.0;Camisetas;web;Sin información;Sin información;ePayco;Low
1002;2023-10-10 09:58:31-05:00;2023-10-10;paid;863.640,00;863.640,00;0,00;0,00;ELEVENPRO10;95.960,00;13285;CAMISETA HILL PRADERA - S;1;239.900,00;NO;0.0;Camisetas;web;Barranquilla;Atlántico;ePayco;Low
1002;2023-10-10 09:58:31-05:00;2023-10-10;paid;863.640,00;863.640,00;0,00;0,00;ELEVENPRO10;95.960,00;1212;Pantaloneta Estelar - White / S / S;1;269.900,00;NO;0.0;Pantalonetas;web;Sin información;Sin información;ePayco;Low
1003;2023-10-11 09:08:39-05:00;2023-10-11;paid;215.820,00;215.820,00;0,00;0,00;ELEVENPRO10;23.980,00;40008;Lycra Deportiva - Dark Blue / XL / XL;1;119.900,00;NO;0.0;Licras Deportivas;web;Montería;Córdoba;Addi Payment;Low
1003;2023-10-11 09:08:39-05:00;2023-10-11;paid;215.820,00;215.820,00;0,00;0,00;ELEVENPRO10;23.980,00;40005;Lycra Deportiva - Black / XL / XL;1;119.900,00;NO;0.0;Licras Deportivas;web;Sin información;Sin información;Addi Payment;Low
1004;2023-10-12 16:26:29-05:00;2023-10-12;paid;167.900,00;167.900,00;0,00;0,00;#TOUR&BIKE;0,00;90117;Camiseta bÃ¡sica de ciclismo - M / Blue / M;1;167.900,00;NO;0.0;Camisetas;web;Mariquita;Tolima;ePayco;Low
1005;2023-10-16 05:12:14-05:00;2023-10-16;paid;560.000,00;560.000,00;0,00;0,00;#TOUR&BIKE;0,00;26935;Enterizo Ciclismo Dama - Purple / M;1;280.000,00;NO;0.0;Enterizo;web;Sin información;Sin información;ePayco;Low
1005;2023-10-16 05:12:14-05:00;2023-10-16;paid;560.000,00;560.000,00;0,00;0,00;#TOUR&BIKE;0,00;26908;Enterizo Ciclismo Dama - Blue / M;1;280.000,00;NO;0.0;Enterizo;web;Cali;Valle Del Cauca;ePayco;Low
1007;2023-10-17 14:43:44-05:00;2023-10-17;paid;350.000,00;350.000,00;0,00;0,00;#TOUR&BIKE;0,00;99999;ENTERIZO HILL - XS / Black / S;1;350.000,00;NO;0.0;Enterizo;web;Santander De Quilichao;Cauca;Addi Payment;Low
