consecutivo;SKU;Descripcion;Talla;Genero_Uso;Longitud_Manga;Precio;Color
1;80576;jersey-aurora-eclipse-slim-fit;XS;Masculino;Manga Larga;259900;
2;80576;jersey-aurora-eclipse-slim-fit;XS;Masculino;Manga Corta;249900;
3;;jersey-aurora-eclipse-slim-fit;XS;Femenino;Manga Larga;259900;
4;;jersey-aurora-eclipse-slim-fit;XS;Femenino;Manga Corta;249900;
5;;jersey-aurora-eclipse-slim-fit;S;Masculino;Manga Larga;259900;
6;;jersey-aurora-eclipse-slim-fit;S;Masculino;Manga Corta;249900;
7;;jersey-aurora-eclipse-slim-fit;S;Femenino;Manga Larga;259900;
8;;jersey-aurora-eclipse-slim-fit;S;Femenino;Manga Corta;249900;
9;;jersey-aurora-eclipse-slim-fit;M;Masculino;Manga Larga;259900;
10;;jersey-aurora-eclipse-slim-fit;M;Masculino;Manga Corta;249900;
11;;jersey-aurora-eclipse-slim-fit;M;Femenino;Manga Larga;259900;
12;;jersey-aurora-eclipse-slim-fit;M;Femenino;Manga Corta;249900;
13;;jersey-aurora-eclipse-slim-fit;L;Masculino;Manga Larga;259900;
14;;jersey-aurora-eclipse-slim-fit;L;Masculino;Manga Corta;249900;
15;;jersey-aurora-eclipse-slim-fit;L;Femenino;Manga Larga;259900;
16;;jersey-aurora-eclipse-slim-fit;L;Femenino;Manga Corta;249900;
17;;jersey-aurora-eclipse-slim-fit;XL;Masculino;Manga Larga;259900;
18;;jersey-aurora-eclipse-slim-fit;XL;Masculino;Manga Corta;249900;
19;;jersey-aurora-eclipse-slim-fit;XL;Femenino;Manga Larga;259900;
20;;jersey-aurora-eclipse-slim-fit;XL;Femenino;Manga Corta;249900;
21;;jersey-aurora-eclipse-slim-fit;2XL;Masculino;Manga Larga;259900;
22;;jersey-aurora-eclipse-slim-fit;2XL;Masculino;Manga Corta;249900;
23;;jersey-aurora-eclipse-slim-fit;2XL;Femenino;Manga Larga;259900;
24;;jersey-aurora-eclipse-slim-fit;2XL;Femenino;Manga Corta;249900;
